ZaporednaStevilkaPN;KlasifikacijaNesrece;UpravnaEnotaStoritve;DatumPN;UraPN;VNaselju;Lokacija;VrstaCesteNaselja;SifraCesteNaselja;TekstCesteNaselja;SifraOdsekaUlice;TekstOdsekaUlice;StacionazaDogodka;OpisKraja;VzrokNesrece;TipNesrece;VremenskeOkoliscine;StanjePrometa;StanjeVozisca;VrstaVozisca;GeoKoordinataX;GeoKoordinataY;ZaporednaStevilkaOsebeVPN;Povzrocitelj;Starost;Spol;UEStalnegaPrebivalisca;Drzavljanstvo;PoskodbaUdelezenca;VrstaUdelezenca;UporabaVarnostnegaPasu;VozniskiStazVLetih;VozniskiStazVMesecih;VrednostAlkotesta;VrednostStrokovnegaPregleda
5863;Z MATERIALNO ŠKODO;;04.05.2026;10;NE;CESTA;AVTOCESTA;000A1;ŠENTILJ-MB-CE-LJ-PO-SRMIN;00052;BREZOVICA-VRHNIKA;600;CESTA;OSTALO;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;JASNO;GOST;SUHO;ASFALT;98414;455608;2;UDELEŽENEC;49;NEZNAN;;MADŽARSKA;BREZ POŠKODBE;VOZNIK TOVORNEGA VOZILA;DA;17;08;,00;,00
5864;Z MATERIALNO ŠKODO;;09.03.2026;11;NE;CESTA;REGIONALNA CESTA;00225;MENGEŠ-DUPLICA-ŠENTRUPERT;01246;SOTESKA-ŠENTRUPERT;5100;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRÈENJE;JASNO;TEKOÈ (NORMALEN);SUHO;ASFALT;129369;502650;1;UDELEŽENEC;42;MOŠKI;ŠENTJUR PRI CELJU;SLOVENIJA;BREZ POŠKODBE;VOZNIK TOVORNEGA VOZILA;DA;23;01;,00;,00
5864;Z MATERIALNO ŠKODO;;09.03.2026;11;NE;CESTA;REGIONALNA CESTA;00225;MENGEŠ-DUPLICA-ŠENTRUPERT;01246;SOTESKA-ŠENTRUPERT;5100;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRÈENJE;JASNO;TEKOÈ (NORMALEN);SUHO;ASFALT;129369;502650;2;UDELEŽENEC;46;MOŠKI;VELENJE;SLOVENIJA;BREZ POŠKODBE;VOZNIK TOVORNEGA VOZILA;DA;25;09;,00;,00
5865;Z LAŽJO TELESNO POŠKODBO;;03.05.2026;14;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;34049;ROSALNICE;0;NI ODSEKOV;27;CESTA;NEPRILAGOJENA HITROST;TRÈENJE V OBJEKT;JASNO;REDEK;SUHO;MAKADAM;56450;526617;1;UDELEŽENEC;25;MOŠKI;METLIKA;SLOVENIJA;LAŽJA TELESNA POŠKODBA;POTNIK;NE;0;0;,00;,00
5865;Z LAŽJO TELESNO POŠKODBO;;03.05.2026;14;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;34049;ROSALNICE;0;NI ODSEKOV;27;CESTA;NEPRILAGOJENA HITROST;TRÈENJE V OBJEKT;JASNO;REDEK;SUHO;MAKADAM;56450;526617;2;POVZROÈITELJ;17;MOŠKI;METLIKA;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK MOTORNEGA KOLESA;NE;0;0;,00;,00
5866;Z LAŽJO TELESNO POŠKODBO;;08.05.2026;9;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;09092;MARINÈA VAS;0;NI ODSEKOV;1;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRÈENJE;DEŽEVNO;TEKOÈ (NORMALEN);SUHO;ASFALT;81231;485840;1;POVZROÈITELJ;38;ŽENSKI;GROSUPLJE;SLOVENIJA;LAŽJA TELESNA POŠKODBA;VOZNIK OSEBNEGA AVTOMOBILA;DA;0;0;,00;,00
5866;Z LAŽJO TELESNO POŠKODBO;;08.05.2026;9;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;09092;MARINÈA VAS;0;NI ODSEKOV;1;CESTA;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRÈENJE;DEŽEVNO;TEKOÈ (NORMALEN);SUHO;ASFALT;81231;485840;2;UDELEŽENEC;33;ŽENSKI;GROSUPLJE;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;0;0;,00;,00
5867;Z MATERIALNO ŠKODO;;05.05.2026;10;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;17087;ŠALARA;0;NI ODSEKOV;25;CESTA;PREMIKI Z VOZILOM;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;OBLAÈNO;GOST;MOKRO;ASFALT;42875;399353;1;POVZROÈITELJ;51;MOŠKI;;SLOVENIJA;BREZ POŠKODBE;VOZNIK TOVORNEGA VOZILA;DA;0;0;,00;,00
5867;Z MATERIALNO ŠKODO;;05.05.2026;10;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;17087;ŠALARA;0;NI ODSEKOV;25;CESTA;PREMIKI Z VOZILOM;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;OBLAÈNO;GOST;MOKRO;ASFALT;42875;399353;2;UDELEŽENEC;62;ŽENSKI;KOPER;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;0;0;,00;,00
5868;Z MATERIALNO ŠKODO;;11.05.2026;7;NE;CESTA;GLAVNA CESTA;00006;POSTOJNA-IL.BISTR-JELŠANE;00338;POSTOJNA-PIVKA;2150;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;BOÈNO TRÈENJE;DEŽEVNO;TEKOÈ (NORMALEN);MOKRO;ASFALT;68253;437194;1;POVZROÈITELJ;48;ŽENSKI;POSTOJNA;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;29;06;,00;,00
5868;Z MATERIALNO ŠKODO;;11.05.2026;7;NE;CESTA;GLAVNA CESTA;00006;POSTOJNA-IL.BISTR-JELŠANE;00338;POSTOJNA-PIVKA;2150;CESTA;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;BOÈNO TRÈENJE;DEŽEVNO;TEKOÈ (NORMALEN);MOKRO;ASFALT;68253;437194;2;UDELEŽENEC;41;ŽENSKI;;SLOVENIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;08;05;,00;,00
5869;Z MATERIALNO ŠKODO;;08.05.2026;11;NE;CESTA;TURISTIÈNA CESTA;00934;SEŽANA - LIPICA - LOKEV;06840;LIPICA-LOKEV;2800;CESTA;NEPRAVILNA STRAN / SMER VOŽNJE;OSTALO;JASNO;TEKOÈ (NORMALEN);SUHO;ASFALT;59316;415296;1;POVZROÈITELJ;87;MOŠKI;IZDANO V DRUGI DRŽAVI;ITALIJA;BREZ POŠKODBE;VOZNIK OSEBNEGA AVTOMOBILA;DA;64;10;,00;,00
5870;Z MATERIALNO ŠKODO;;09.05.2026;15;DA;NASELJE;NASELJE BREZ ULIÈNEGA SISTEMA;40011;STRUNJAN;0;NI ODSEKOV;33;CESTA;PREMIKI Z VOZILOM;TRÈENJE V STOJEÈE / PARKIRANO VOZILO;JASNO;REDEK;SUHO;ASFALT;43835;391590;1;UDELEŽENEC;52;MOŠKI;PIRAN;SLOVENIJA;BREZ POŠKODBE-UZ;VOZNIK MOTORNEGA KOLESA;DA;0;0;,00;,00
